,IDBD-D100380,IDBD-D100376,IDBD-D100381,IDBD-D100377,IDBD-D100382,IDBD-D100383,IDBD-D100384,IDBD-D100386,IDBD-D100387,IDBD-D100388,IDBD-D100389,IDBD-D100390,IDBD-D100391,IDBD-D100392,IDBD-D100393,IDBD-D100394,IDBD-D100395,IDBD-D100396,IDBD-D100412,IDBD-D100411,IDBD-D100413,IDBD-D100414,IDBD-D100415,IDBD-D100416,IDBD-D100417,IDBD-D100418,IDBD-D100419,IDBD-D100420,IDBD-D100438,IDBD-D100439,IDBD-D100440,IDBD-D100441,IDBD-D100442,IDBD-D100443,IDBD-D100446,IDBD-D100447,IDBD-D100448,IDBD-D100454,IDBD-D100455,IDBD-D100456,IDBD-D100458,IDBD-D100459,IDBD-D100457,IDBD-D100460,IDBD-D100397,IDBD-D100398,IDBD-D100399,IDBD-D100400,IDBD-D100401,IDBD-D100402,IDBD-D100403,IDBD-D100404,IDBD-D100405,IDBD-D100406,IDBD-D100407,IDBD-D100409,IDBD-D100408,IDBD-D100410,IDBD-D100444,IDBD-D100445,IDBD-D100450,IDBD-D100451,IDBD-D100452,IDBD-D100453,IDBD-D100472,IDBD-D100473,IDBD-D100474,IDBD-D100475,IDBD-D100476,IDBD-D100477,IDBD-D100478,IDBD-D100479,IDBD-D100480,IDBD-D100481,IDBD-D100482,IDBD-D100483,IDBD-D100484,IDBD-D100485,IDBD-D100486,IDBD-D100487,IDBD-D100488,IDBD-D100489,IDBD-D100490,IDBD-D100491,IDBD-D100461,IDBD-D100462,IDBD-D100463,IDBD-D100464,IDBD-D100465,IDBD-D100466,IDBD-D100467,IDBD-D100468,IDBD-D100469,IDBD-D100470,IDBD-D100471,target_id,sum,std,mean,cv,samples_observed
109092,393.949,466.76800000000003,353.923,543.234,283.735,,303.395,619.872,415.156,356.719,217.266,503.57199999999995,444.309,506.395,567.705,735.2289999999999,541.798,468.592,602.488,603.1619999999999,447.526,488.08,582.6419999999999,317.589,323.716,279.635,370.711,,537.878,294.651,393.584,552.136,104.24600000000001,387.63800000000003,411.591,680.534,585.276,356.881,361.528,444.162,434.59,277.663,463.462,417.79900000000004,464.42199999999997,470.884,531.97,626.2769999999999,466.814,582.689,584.79,621.136,327.383,437.64599999999996,301.643,605.279,547.102,444.392,572.474,337.767,577.6759999999999,402.343,655.271,297.606,484.716,604.911,553.941,593.663,363.71,51.9158,452.629,415.11300000000006,338.374,257.30400000000003,234.80700000000002,359.249,668.3989999999999,385.972,366.11199999999997,498.871,490.97900000000004,371.70300000000003,,478.80800000000005,501.806,575.799,49.5903,654.939,291.814,435.82599999999996,393.841,394.088,233.239,372.33099999999996,347.64300000000003,NR_026731.1,40518.4421,136.2288626330193,440.4178489130435,0.30931730621098524,93
154887,332.935,254.77700000000002,285.654,279.77,361.574,275.125,336.31,275.64,277.816,158.994,226.128,191.706,217.005,120.669,306.875,123.3,175.49200000000002,239.55900000000003,314.60200000000003,255.232,,239.658,226.692,464.14599999999996,446.005,92.5351,154.84799999999998,,285.435,418.403,253.408,484.81699999999995,35.2418,441.07199999999995,297.867,218.479,422.577,245.74,253.368,340.586,224.778,276.44,317.933,384.204,227.697,290.152,238.41099999999997,204.37400000000002,199.49900000000002,,298.404,240.771,600.131,658.687,335.80699999999996,231.921,280.29400000000004,197.60299999999998,332.524,383.026,227.87,355.181,292.76099999999997,306.515,241.797,180.49599999999998,212.726,318.209,234.05599999999998,160.641,219.146,346.715,193.41299999999998,452.50699999999995,283.282,243.37599999999998,217.99599999999998,241.452,174.42700000000002,287.78700000000003,344.462,250.426,251.165,268.78,225.899,281.17900000000003,297.143,308.05400000000003,170.947,396.36699999999996,165.80200000000002,313.10200000000003,81.0601,316.349,275.96,NR_146119.1,25389.744999999995,99.60451589266185,275.9754891304347,0.36091797937021003,93
133019,34.8406,32.8,24.2685,26.1009,20.2543,58.2111,25.5583,30.796,27.0736,12.1101,38.5357,30.0297,28.1646,32.2316,35.4257,32.7695,26.0416,23.4097,30.308000000000003,28.1054,,30.9966,31.3069,26.3813,27.6621,,29.8437,,25.1057,45.2307,28.7305,20.3801,6.49541,35.0894,16.5666,18.2539,30.9513,24.1702,26.5125,25.3445,32.9898,27.5661,22.5639,20.1505,34.559,24.9285,31.344,28.0184,25.3356,48.1833,27.3859,32.0595,35.1593,41.215,29.3265,29.0502,24.0501,62.0134,27.5164,22.0972,33.3723,20.9756,29.5129,25.0961,29.923000000000002,32.0474,31.5098,26.3149,28.7634,34.7639,33.2986,20.3594,18.7505,26.1948,29.1646,25.8467,33.957,31.4519,34.8194,29.8693,23.6875,31.4318,117.14299999999999,28.2258,28.4183,35.4451,66.1417,27.2929,27.8648,23.8169,33.8461,33.4975,31.8273,30.1621,26.1597,NM_001256071.3,2812.5209099999993,12.496340259012834,30.57087945652173,0.4087661356548567,93
88935,364.42,348.32300000000004,325.76099999999997,329.825,261.322,502.12800000000004,301.192,329.504,283.89,153.78,314.613,392.129,366.452,328.853,270.844,306.61400000000003,307.494,224.335,288.221,366.772,,322.91200000000003,313.367,346.389,337.711,329.897,325.567,,352.20300000000003,427.099,311.209,173.141,203.979,340.606,268.026,253.035,240.576,354.343,353.259,315.051,278.323,393.936,246.03400000000002,281.224,313.668,359.606,323.998,341.565,398.869,288.757,296.675,312.466,245.873,333.26800000000003,320.522,320.045,304.71299999999997,252.891,263.426,381.176,321.736,512.538,275.568,328.954,342.74199999999996,333.16900000000004,306.306,305.616,333.63800000000003,224.905,353.99800000000005,392.1,355.976,166.847,260.519,332.205,246.89,221.482,259.762,302.499,217.995,347.496,,308.349,313.722,385.57300000000004,140.22899999999998,623.2130000000001,435.903,293.957,305.971,342.30699999999996,366.056,285.782,308.433,NR_036485.1,29044.313000000002,70.90899453050146,315.69905434782595,0.22460946130163717,93
15932,188.018,225.112,181.31900000000002,248.19400000000002,190.27900000000002,188.237,208.558,252.351,163.584,244.467,134.00799999999998,231.291,224.734,252.025,235.69400000000002,279.153,241.364,197.83900000000003,287.805,262.682,,226.174,281.67,178.72400000000002,189.21099999999998,,213.101,,237.44299999999998,262.972,234.295,257.452,66.8226,247.50799999999998,248.196,222.37599999999998,213.394,214.44299999999998,189.07,243.713,229.31799999999998,300.235,222.357,287.878,226.359,202.965,206.515,271.171,242.801,131.066,230.332,219.551,160.92700000000002,155.07,201.054,246.391,247.942,115.943,252.063,137.05,173.415,178.588,239.34799999999998,174.38099999999997,219.636,232.843,221.421,214.736,187.412,52.1995,247.30200000000002,178.736,164.801,260.925,220.61700000000002,190.488,268.703,234.27599999999998,192.90900000000002,234.22400000000002,118.581,209.579,437.55699999999996,238.393,232.093,209.98,233.18900000000002,406.93199999999996,190.979,209.268,179.077,189.06799999999998,229.18900000000002,268.066,234.483,NR_110257.1,20123.661099999998,53.92819419861576,218.7354467391304,0.24654529022418545,93
109971,0.00120613,0.000496466,8.15275e-07,0.000321316,86.21,,0.05154349999999999,92.0246,0.00227503,0.0112297,6.473009999999999e-08,0.0007058660000000001,0.00015963,0.000154178,0.000299092,0.000807125,0.00042933699999999996,0.00225586,0.000256209,17.0835,0.0704105,19.4497,0.000271346,15.0729,0.0009720330000000001,0.16034400000000001,0.00039006800000000003,3.2439,0.000380055,0.00476778,0.000205886,16.6797,0.00531905,0.000334991,,0.00634135,0.00030548,4.59768,16.0056,2.2628600000000002e-05,70.6735,0.0007501239999999999,0.00322422,0.000506116,0.000665702,0.000975649,0.000526167,5.46836,2.96023e-05,0.00249815,0.0745729,0.000284157,0.00251318,0.00665343,16.2525,6.01254,0.00118164,0.00945051,90.4643,0.00277179,0.00520231,0.00164683,5.7733,0.000727753,29.3376,0.000421417,0.000609642,0.000707776,0.000896843,0.0206563,9.797870000000001e-05,0.004792800000000001,0.0061726,1.39895e-07,0.00363025,0.00048714699999999995,0.00023882099999999998,0.00331358,0.00773969,8.28034e-05,0.027387,2.98107,,0.0005787559999999999,0.00061284,0.000879508,0.051671400000000006,0.08268869999999999,0.00113663,0.0213276,0.00015641,0.00240938,0.0381168,0.000144248,0.00020771,NM_001160147.2,498.04430048690017,17.876128492879992,5.413525005292393,3.3021235655887535,93
80441,250.13099999999997,263.899,327.88,259.597,322.749,,285.115,264.671,294.928,273.54,360.52,217.488,230.74099999999999,185.301,172.792,197.636,183.417,209.782,213.46200000000002,204.03099999999998,434.54,268.358,215.139,240.067,296.11,,257.837,3266.62,221.16099999999997,272.767,277.835,196.179,57.0805,280.367,220.458,220.032,267.407,276.79200000000003,238.158,253.51,252.78799999999998,240.889,198.926,268.753,250.452,264.069,278.501,240.15200000000002,188.16299999999998,229.84400000000002,232.835,272.053,248.218,282.143,290.137,220.679,216.15599999999998,95.1377,221.64,203.25599999999997,202.63,319.471,222.69099999999997,249.101,238.495,228.80700000000002,235.40099999999998,305.616,267.52,199.998,284.815,293.81,245.204,362.474,380.329,297.747,201.46099999999998,227.926,247.628,292.765,258.472,271.89,,207.418,214.317,294.183,249.4,209.356,282.847,629.906,220.229,267.921,406.898,240.53099999999998,282.221,XM_017017016.1,26512.3672,320.99177009484345,288.1779043478261,1.1138666957179741,93
160651,816.3560000000001,1294.48,830.1610000000001,1087.18,956.2330000000001,,752.0880000000001,994.444,806.738,278.531,702.577,957.683,805.33,605.609,1439.39,967.793,639.5459999999999,1104.81,1408.52,1046.15,1112.14,982.924,873.789,1500.34,1020.97,1201.39,537.9259999999999,,864.049,843.316,842.7230000000001,1272.88,122.10600000000001,1078.59,731.945,994.455,1544.21,857.9989999999999,723.8430000000001,908.949,633.753,921.6289999999999,970.498,1131.46,993.732,674.802,989.454,1258.35,795.268,398.97,1378.58,949.172,503.64599999999996,1478.53,1164.58,1518.5,1088.32,616.352,1476.48,859.9110000000001,823.768,611.5219999999999,1142.09,496.485,734.444,805.301,925.7660000000001,1641.28,765.804,622.9730000000001,911.07,785.138,993.461,957.659,438.715,649.106,1050.94,446.81,394.06199999999995,973.704,157.111,601.071,1646.23,1067.1,838.544,1182.64,395.35900000000004,,329.99199999999996,380.412,471.517,682.957,828.439,878.8580000000001,952.84,NR_038958.1,81893.318,327.4660259311323,890.144760869565,0.3678795183956789,93
15804,209.174,211.453,263.33099999999996,209.17700000000002,178.708,,223.48,131.497,192.623,150.43,231.58599999999998,207.024,221.894,209.11900000000003,183.111,204.41099999999997,177.856,230.02200000000002,215.59099999999998,201.092,,213.753,207.107,218.024,258.927,387.19699999999995,201.46,2155.73,246.503,281.508,220.07299999999998,288.051,53.5169,179.96900000000002,281.349,189.15200000000002,188.628,208.454,207.511,193.077,242.551,225.75,246.213,242.75900000000001,252.97299999999998,206.50400000000002,210.61599999999999,204.13400000000001,193.303,83.0298,226.27599999999998,185.50900000000001,162.43200000000002,144.52100000000002,176.14,198.28900000000002,242.97400000000002,243.69,184.424,217.58,249.37,281.08299999999997,203.74900000000002,209.09900000000002,228.65400000000002,222.64,217.929,199.704,220.56599999999997,189.97,241.37599999999998,153.866,193.453,264.38599999999997,335.788,217.521,210.26,207.408,211.59,192.03599999999997,213.21599999999998,220.37900000000002,,223.298,236.12,195.75599999999997,329.17199999999997,228.235,209.52900000000002,349.963,198.80200000000002,185.979,164.071,230.37099999999998,213.167,NM_001306077.1,21769.742699999995,207.5339264066543,236.6276380434783,0.8770485481857437,93
40744,417.87199999999996,471.952,503.43300000000005,568.965,575.933,1358.37,448.361,453.847,614.31,387.60400000000004,338.07300000000004,573.03,518.0880000000001,573.447,585.702,386.624,428.42699999999996,613.456,538.035,522.649,600.881,528.4630000000001,510.60400000000004,473.51599999999996,510.218,,486.462,,548.507,613.972,459.23,314.612,126.31,537.648,432.92800000000005,535.375,477.629,488.963,395.911,601.229,490.605,508.023,491.45300000000003,585.168,593.972,615.738,477.51800000000003,554.617,347.98699999999997,455.164,561.143,501.32599999999996,244.87900000000002,464.57,585.602,455.642,619.4730000000001,460.173,449.86800000000005,403.64300000000003,205.475,549.134,428.019,407.83099999999996,540.076,581.812,565.342,685.454,595.27,304.20799999999997,464.148,566.933,721.31,493.014,302.716,490.191,500.349,499.644,543.236,515.918,628.097,568.04,,557.039,589.809,433.852,479.04699999999997,318.442,497.167,212.916,464.94300000000004,396.19599999999997,247.56599999999997,523.908,442.048,NM_024906.2,45706.350000000006,140.03674650157305,496.808152173913,0.2818728837053215,93
163450,317.316,247.293,333.13,294.606,326.89799999999997,249.71599999999998,347.416,251.71400000000003,318.095,407.93800000000005,363.635,277.513,222.695,212.947,215.317,240.695,227.704,212.91400000000002,273.87,267.843,364.524,260.39,278.535,256.901,279.425,164.063,315.744,,263.777,203.393,342.13800000000003,244.36599999999999,157.898,263.203,220.162,302.039,251.014,305.22900000000004,251.06400000000002,255.915,261.928,313.54,308.597,313.72,297.68,283.928,339.62300000000005,259.656,258.363,231.887,273.876,244.595,275.30400000000003,247.953,357.704,251.231,299.503,292.631,262.888,227.342,289.598,253.385,229.90599999999998,274.749,330.788,324.03700000000003,276.569,289.281,368.394,298.263,303.95099999999996,316.39099999999996,242.614,286.987,230.423,325.043,265.77,279.38,373.806,304.117,397.51300000000003,309.343,,318.574,276.064,247.11900000000003,,585.411,334.83099999999996,391.416,298.426,291.08299999999997,227.55700000000002,374.829,296.122,XR_430640.3,26402.724,58.04955738238226,286.9861304347825,0.20227304118996092,93
75062,233.708,186.062,247.02900000000002,194.375,235.482,,197.238,119.803,232.965,143.72,296.235,181.851,207.862,192.734,152.912,169.636,175.16400000000002,155.126,183.206,188.078,,161.86700000000002,193.53900000000002,215.857,194.90200000000002,308.27099999999996,194.31599999999997,,194.528,95.5425,215.63299999999998,206.148,87.2605,216.354,270.691,378.349,186.30900000000003,188.46099999999998,214.364,122.568,203.375,206.888,181.484,229.21599999999998,187.94299999999998,196.52,206.093,151.697,195.19400000000002,104.57,222.28599999999997,191.514,271.548,63.5315,193.687,181.451,241.595,49.986000000000004,169.43900000000002,229.292,167.429,199.665,174.19400000000002,157.42700000000002,183.37099999999998,207.007,167.628,170.986,218.696,70.0537,199.023,182.34599999999998,118.92200000000001,240.56400000000002,166.523,221.425,149.71,253.725,227.796,215.59,208.27200000000002,193.324,472.115,176.511,167.718,167.872,131.037,219.995,184.636,294.184,199.722,219.312,342.06,183.058,219.467,NR_121647.1,18086.819200000005,59.93150367603819,196.59586086956529,0.30484621299224973,93
