,log_coverage,log_conc,residuals
0,-2.2304017438549697,8.012837224705173,-0.1171900876519576
1,-4.474691198795627,5.512889094129521,0.11835091077684723
2,-4.912271143957743,5.012893686657926,0.17684393248077335
3,-2.589326857217642,7.513150142086769,0.0203544982328685
4,-3.406703084671457,6.512875359108982,0.19592614186331048
5,-3.004081056055316,7.01327173647919,0.10176087302982495
6,-3.410989994380422,6.512875359108982,0.19160080455065653
7,-4.870913223374757,5.012893686657926,0.2185725830043097
8,-2.61362849008281,7.513150142086769,-0.004164973024084695
9,-2.2208237787230534,8.012837224705173,-0.10752626621020056
10,-3.8451527684849736,6.01288065632498,0.2535409239426949
11,-3.012332840573713,7.01327173647919,0.09343512000573906
12,-4.430476003736886,5.512889094129521,0.1629624482146168
13,-3.9324938262407025,6.01288065632498,0.16541694613941615
14,-2.5323701678149173,7.929418925714293,-0.33844703961533895
15,-4.931322174444992,5.429470795138641,-0.25895497879151463
16,-5.302210386130141,4.929475387667047,-0.13317240287789112
17,-2.9075832521782172,7.4297318430958885,-0.21733642913454432
18,-3.8479091449527254,6.429457060118103,-0.16581656431291503
19,-3.400656323225866,6.92985343748831,-0.21495097226043036
20,-3.7915821699653347,6.429457060118103,-0.10898467767150244
21,-2.8541466092954333,7.4297318430958885,-0.16342078336283627
22,-2.4973942844280823,7.929418925714293,-0.3031576344898408
23,-4.238324525694895,5.9294623573341,-0.05973690252605124
24,-3.3473633548186443,6.92985343748831,-0.16118028885373903
25,-4.833661595905224,5.429470795138641,-0.16041897663358995
26,-4.192300610707839,5.9294623573341,-0.013300431902093734
27,-2.1036214917401983,8.181843587944773,-0.15827974813645085
28,-4.285489861518136,5.681895457369121,0.14024187435028956
29,-5.096202105440604,5.181900049897527,-0.17774213844204567
30,-2.4397002673594304,7.682156505326368,0.002315968704675875
31,-3.2591960759172824,6.6818817223485825,0.1757490314321144
32,-2.86860368588722,7.18227809971879,0.06944629104766875
33,-3.2782504090697886,6.6818817223485825,0.15652389637039033
34,-4.803496672225218,5.181900049897527,0.11758708886949076
35,-2.4600933546718107,7.682156505326368,-0.01825992102959617
36,-2.0999917853316696,8.181843587944773,-0.1546175052555352
37,-3.744077112729402,6.18188701956458,0.1865162526258901
38,-2.850821605622271,7.18227809971879,0.08738776882261234
39,-4.351374320386327,5.681895457369121,0.07376683111095339
40,-3.781943057604517,6.18188701956458,0.14831087967280165
41,-1.9755587477076682,8.334453751150932,-0.18167922048846386
42,-4.399657907017138,5.83450562057528,-0.1275597299251503
43,-4.598968235765162,5.334510213103685,0.171338742864509
44,-2.483325965481914,7.834766668532527,-0.19431095078751603
45,-3.325949459572653,6.8344918855547405,-0.04421288879067653
46,-2.894366167539376,7.334888262924949,-0.10915728716408069
47,-3.396937972709731,6.8344918855547405,-0.1158377387378291
48,-4.961987520794387,5.334510213103685,-0.19493462544695994
49,-2.4563091390791953,7.834766668532527,-0.1670519471596137
50,-1.9971194088392552,8.334453751150932,-0.20343315010422103
51,-4.01400223312622,6.334497182770739,-0.23843862370387647
52,-2.9308602507471253,7.334888262924949,-0.14597850116340183
53,-4.297517430584756,5.83450562057528,-0.02450367233632278
54,-3.964734270955422,6.334497182770739,-0.18872902645014555
55,-1.916941773935057,8.164352855784436,0.04756408771758913
56,-4.3516813474263385,5.664404725208786,0.09094778405914905
57,-2.2823880645995183,7.664665773166033,0.17852904085510612
58,-3.220045494251569,6.664390990188247,0.23274128874392996
59,-2.755984276181647,7.164787367558454,0.2005659466047014
60,-3.167180830020416,6.664390990188247,0.28607982868138926
61,-5.26625673307295,5.164409317737191,-0.3318303934830036
62,-2.3096309418972334,7.664665773166033,0.15104196002542825
63,-1.894448531286262,8.164352855784436,0.07025895845581509
64,-3.773936947977883,6.164396287404244,0.1738794877503418
65,-2.726377608573585,7.164787367558454,0.23043800662049296
66,-4.442000020323003,5.664404725208786,-0.00018050005010916692
67,-3.7676083718526905,6.164396287404244,0.18026479285556007
68,-2.0131969082936303,8.143014800254095,-0.028215816410741112
69,-4.318855789730681,5.643066669678444,0.14540564363219577
70,-5.079515974213754,5.143071262206849,-0.12207764603652471
71,-2.340695107881138,7.6433277176356915,0.14103739223537115
72,-3.2205758677411755,6.643052934657905,0.25354421654824577
73,-2.7803513145249004,7.143449312028113,0.1973185391091885
74,-3.4018669652300173,6.643052934657905,0.07062803644289595
75,-4.829548695974709,5.143071262206849,0.13013032401909985
76,-2.530068877808197,7.6433277176356915,-0.05003391290325521
77,-2.0021548253046655,8.143014800254095,-0.01707475284653448
78,-3.713024431305524,6.143058231873902,0.2566760761300264
79,-2.741447858442937,7.143449312028113,0.23657072345788155
80,-4.313252594175485,5.643066669678444,0.1510590658991271
81,-3.6950655912883965,6.143058231873902,0.274795898121055
82,-2.382348496356717,7.939519252618618,-0.1971809097203021
83,-4.804467528364793,5.439571122042968,-0.1410635421122235
84,-2.7346529697827813,7.439832170000215,-0.052956336876206045
85,-3.6666148446040685,6.439557387022428,0.0070025204581698475
86,-3.2266440268855217,6.939953764392636,-0.04947916694852861
87,-3.6638310642778844,6.439557387022428,0.009811254425645899
88,-5.37627028799688,4.939575714571372,-0.2179965002049462
89,-2.7137292286681536,7.439832170000215,-0.03184503659056226
90,-2.35344624264494,7.939519252618618,-0.1680195779250706
91,-4.122819400729828,5.939562684238426,0.046703276605786215
92,-3.211127387165776,6.939953764392636,-0.03382343699310919
93,-4.952193103578921,5.439571122042968,-0.29011332059733164
94,-4.254905687147201,5.939562684238426,-0.08656702342786016
