id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
11202	genus	Escherichia/Shigella	623	6	11	7	7	7.03	0.29	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 10, 8, 9, 11, 7, 7, 10, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
11203	genus	Natronococcus	1	4	4	4	4	4.00	0.00	[4]
11204	genus	Iodobacter	1	10	10	10	10	10.00	0.00	[10]
11205	genus	Gluconobacter	6	4	5		4.5	4.50	0.50	[4, 5, 4, 5, 5, 4]
11206	genus	Rhodopseudomonas	9	1	2	2	2	1.89	0.31	[1, 2, 2, 2, 2, 2, 2, 2, 2]
11207	genus	Saccharopolyspora	1	4	4	4	4	4.00	0.00	[4]
11208	genus	Zunongwangia	1	3	3	3	3	3.00	0.00	[3]
11209	genus	Methylobacterium	23	4	11	5	5	5.70	1.97	[5, 6, 6, 5, 5, 7, 5, 5, 4, 5, 11, 4, 4, 5, 5, 5, 5, 4, 6, 9, 11, 4, 5]
11210	genus	Maricaulis	1	2	2	2	2	2.00	0.00	[2]
11211	genus	Parvibaculum	1	1	1	1	1	1.00	0.00	[1]
11212	genus	Ureaplasma	8	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2]
11213	genus	Paludibacter	1	3	3	3	3	3.00	0.00	[3]
11214	genus	Croceibacter	1	2	2	2	2	2.00	0.00	[2]
11215	genus	Kosakonia	7	5	10	7	7	7.14	1.36	[7, 7, 10, 5, 7, 7, 7]
11216	genus	Methylibium	1	1	1	1	1	1.00	0.00	[1]
11217	genus	Orientia	10	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
11218	genus	Lentzea	1	5	5	5	5	5.00	0.00	[5]
11219	genus	Pragia	1	7	7	7	7	7.00	0.00	[7]
11220	genus	Kurthia	1	9	9	9	9	9.00	0.00	[9]
11221	genus	Tannerella	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
11222	genus	Novosphingobium	6	3	5	3	3.0	3.33	0.75	[3, 3, 3, 5, 3, 3]
11223	genus	Brochothrix	2	9	9	9	9.0	9.00	0.00	[9, 9]
11224	genus	Desulfobulbus	1	2	2	2	2	2.00	0.00	[2]
11225	genus	Vulgatibacter	1	3	3	3	3	3.00	0.00	[3]
11226	genus	Spirosoma	5	1	3	3	3	2.60	0.80	[3, 3, 3, 3, 1]
11227	genus	Ensifer	33	2	5	3	3	3.03	0.39	[3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
11228	genus	Methylobacillus	1	2	2	2	2	2.00	0.00	[2]
11229	genus	Acidithiobacillus	6	2	4	2	2.0	2.33	0.75	[2, 2, 2, 2, 2, 4]
11230	genus	Rhodospirillum	2	4	4	4	4.0	4.00	0.00	[4, 4]
11231	genus	"Candidatus Korarchaeum"	1	1	1	1	1	1.00	0.00	[1]
11232	genus	Arsenophonus	1	1	1	1	1	1.00	0.00	[1]
11233	genus	Oligella	1	3	3	3	3	3.00	0.00	[3]
11234	genus	Defluviitoga	1	3	3	3	3	3.00	0.00	[3]
11235	genus	Candidatus Pelagibacter	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
11236	genus	Rubrobacter	2	1	1	1	1.0	1.00	0.00	[1, 1]
11237	genus	Proteiniphilum	1	2	2	2	2	2.00	0.00	[2]
11238	genus	Saccharospirillum	1	4	4	4	4	4.00	0.00	[4]
11239	genus	Breoghania	1	2	2	2	2	2.00	0.00	[2]
11240	genus	Salimicrobium	1	7	7	7	7	7.00	0.00	[7]
11241	genus	Methanocella	2	2	3		2.5	2.50	0.50	[3, 2]
11242	genus	Asaia	1	5	5	5	5	5.00	0.00	[5]
11243	genus	Salinimonas	1	4	4	4	4	4.00	0.00	[4]
11244	genus	Allochromatium	1	3	3	3	3	3.00	0.00	[3]
11245	genus	Roseiflexus	2	2	2	2	2.0	2.00	0.00	[2, 2]
11246	genus	Roseovarius	3	2	2	2	2	2.00	0.00	[2, 2, 2]
11247	genus	Mesorhizobium	10	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
11248	genus	Brenneria	3	7	7	7	7	7.00	0.00	[7, 7, 7]
11249	genus	Flammeovirga	1	8	8	8	8	8.00	0.00	[8]
11250	genus	Dokdonella	1	2	2	2	2	2.00	0.00	[2]
11251	genus	Cloacibacillus	1	5	5	5	5	5.00	0.00	[5]
11252	genus	Actinobacillus	13	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
11253	genus	Laribacter	2	7	7	7	7.0	7.00	0.00	[7, 7]
11254	genus	Tenacibaculum	3	3	10		6	6.33	2.87	[10, 6, 3]
11255	genus	Rivicola	1	5	5	5	5	5.00	0.00	[5]
11256	genus	Parabacteroides	2	7	7	7	7.0	7.00	0.00	[7, 7]
11257	genus	Ignicoccus	2	1	1	1	1.0	1.00	0.00	[1, 1]
11258	genus	Oceanisphaera	2	8	8	8	8.0	8.00	0.00	[8, 8]
11259	genus	Simplicispira	1	3	3	3	3	3.00	0.00	[3]
11260	genus	Symbiobacterium	1	6	6	6	6	6.00	0.00	[6]
11261	genus	Alloactinosynnema	1	3	3	3	3	3.00	0.00	[3]
11262	genus	Morganella	8	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7]
11263	genus	Methylovorus	2	2	2	2	2.0	2.00	0.00	[2, 2]
11264	genus	Proteus	20	6	7	7	7.0	6.95	0.22	[7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
11265	genus	Nautilia	1	4	4	4	4	4.00	0.00	[4]
11266	genus	Acidiphilium	2	2	2	2	2.0	2.00	0.00	[2, 2]
11267	genus	Methanothermobacter	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
11268	genus	Eikenella	1	4	4	4	4	4.00	0.00	[4]
11269	genus	Chitinophaga	1	6	6	6	6	6.00	0.00	[6]
11270	genus	Isoptericola	2	3	4		3.5	3.50	0.50	[3, 4]
11271	genus	Filomicrobium	2	1	1	1	1.0	1.00	0.00	[1, 1]
11272	genus	Cellvibrio	3	2	5		3	3.33	1.25	[3, 5, 2]
11273	genus	GpXII	1	2	2	2	2	2.00	0.00	[2]
11274	genus	Elusimicrobium	1	1	1	1	1	1.00	0.00	[1]
11275	genus	Luteipulveratus	1	2	2	2	2	2.00	0.00	[2]
11276	genus	Nitrosococcus	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
11277	genus	Minicystis	1	4	4	4	4	4.00	0.00	[4]
11278	genus	Anaerobaculum	1	2	2	2	2	2.00	0.00	[2]
11279	genus	Salinisphaera	1	2	2	2	2	2.00	0.00	[2]
11280	genus	Nitrosomonas	6	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1]
11281	genus	Snodgrassella	1	4	4	4	4	4.00	0.00	[4]
11282	genus	Owenweeksia	1	2	2	2	2	2.00	0.00	[2]
11283	genus	Amycolicicoccus	1	3	3	3	3	3.00	0.00	[3]
11284	genus	Saccharofermentans	1	2	2	2	2	2.00	0.00	[2]
11285	genus	Rhodococcus	34	3	6	4	4.0	4.26	0.56	[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 5, 6, 5, 4, 4, 4, 4, 4]
11286	genus	Dermacoccus	1	3	3	3	3	3.00	0.00	[3]
11287	genus	Bacteroides	20	4	7	6	5.5	5.45	0.86	[6, 5, 7, 6, 5, 6, 6, 6, 6, 5, 5, 4, 7, 6, 5, 5, 6, 4, 4, 5]
11288	genus	Treponema	11	2	4	2	2	2.45	0.78	[2, 4, 4, 2, 2, 2, 3, 2, 2, 2, 2]
11289	genus	Barnesiella	1	5	5	5	5	5.00	0.00	[5]
11290	genus	Salmonella	457	5	8	7	7	6.98	0.22	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
11291	genus	Clostridium III	13	3	8		4	4.38	1.73	[4, 8, 4, 6, 8, 4, 3, 3, 4, 3, 3, 3, 4]
11292	genus	Phreatobacter	1	2	2	2	2	2.00	0.00	[2]
11293	genus	Oscillibacter	1	3	3	3	3	3.00	0.00	[3]
11294	genus	Acholeplasma	13	2	4	2	2	2.15	0.53	[2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2]
11295	genus	Desulfohalobium	1	2	2	2	2	2.00	0.00	[2]
11296	genus	Reinekea	1	5	5	5	5	5.00	0.00	[5]
11297	genus	Streptococcus	408	1	9	6	6.0	5.30	1.16	[6, 4, 4, 7, 6, 6, 5, 6, 5, 5, 5, 6, 6, 6, 6, 6, 7, 6, 6, 6, 4, 4, 6, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 4, 5, 7, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 1, 6, 4, 4, 4, 4, 4, 6, 5, 5, 4, 4, 6, 6, 6, 4, 5, 5, 5, 5, 6, 5, 4, 4, 7, 6, 4, 5, 6, 5, 4, 5, 4, 4, 6, 7, 7, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 5, 2, 2, 4, 7, 5, 5, 7, 7, 4, 5, 6, 5, 6, 6, 6, 7, 6, 4, 5, 7, 7, 7, 4, 5, 2, 6, 4, 5, 5, 6, 6, 6, 6, 6, 6, 5, 6, 7, 6, 6, 7, 7, 1, 6, 6, 6, 4, 7, 6, 3, 5, 4, 7, 4, 6, 9, 6, 6, 8, 6, 6, 8, 4, 5, 6, 4, 4, 4, 5, 5, 6, 4, 6, 4, 5, 5, 5, 5, 4, 5, 6, 6, 6, 5, 4, 6, 4, 7, 4, 7, 5, 6, 4, 4, 4, 4, 7, 4, 4, 6, 6, 7, 7, 6, 4, 4, 6, 7, 7, 6, 6, 6, 6, 4, 6, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 6, 6, 5, 6, 6, 7, 5, 5, 4, 4, 4, 4, 4, 4, 6, 6, 4, 4, 5, 4, 7, 7, 7, 7, 4, 4, 4, 5, 4, 5, 4, 6, 6, 6, 6, 6, 4, 5, 5, 4, 6, 5, 4, 6, 6, 6, 6, 6, 4, 4, 7, 7, 7, 7, 7, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 6, 7, 7, 5, 7, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 5, 7, 6, 4, 5, 6, 4, 7, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 4, 6, 6, 6, 4, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 4, 4, 6, 6, 4, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 4, 6, 6, 4, 5, 4, 4, 4, 4, 6, 4, 6]
11298	genus	Thiomicrospira	1	3	3	3	3	3.00	0.00	[3]
11299	genus	Mobiluncus	1	2	2	2	2	2.00	0.00	[2]
11300	genus	Zobellia	1	2	2	2	2	2.00	0.00	[2]
11301	genus	Xanthomonas	144	1	2	2	2.0	1.99	0.12	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
11302	genus	Thalassospira	3	4	6	4	4	4.67	0.94	[4, 6, 4]
11303	genus	Leifsonia	4	1	3	1	1.0	1.50	0.87	[1, 1, 3, 1]
11304	genus	GpI	27	1	6	4	4	3.93	0.98	[4, 4, 4, 4, 5, 3, 4, 5, 3, 4, 2, 4, 1, 5, 4, 4, 4, 4, 4, 3, 5, 6, 5, 4, 3, 4, 4]
11305	genus	Methanomethylovorans	1	2	2	2	2	2.00	0.00	[2]
11306	genus	Sulfuriferula	1	3	3	3	3	3.00	0.00	[3]
11307	genus	Thermus	11	1	2	2	2	1.91	0.29	[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2]
11308	genus	Marinobacter	11	1	3	3	3	2.64	0.77	[3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3]
11309	genus	Thiopseudomonas	3	3	5		4	4.00	0.82	[3, 4, 5]
11310	genus	Chryseobacterium	12	2	7	6	6.0	5.08	1.55	[2, 6, 6, 6, 7, 6, 6, 5, 5, 6, 4, 2]
11311	genus	Oenococcus	2	2	2	2	2.0	2.00	0.00	[2, 2]
11312	genus	Dermatophilus	1	3	3	3	3	3.00	0.00	[3]
11313	genus	Enterococcus	87	4	7	6	6	5.52	0.87	[4, 5, 4, 6, 4, 6, 6, 4, 4, 6, 6, 6, 4, 6, 4, 6, 6, 6, 6, 6, 5, 6, 4, 6, 6, 4, 6, 6, 6, 6, 4, 6, 4, 6, 6, 6, 4, 6, 6, 6, 6, 4, 4, 4, 6, 6, 6, 4, 6, 6, 4, 5, 6, 6, 6, 7, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 4, 6, 6, 6, 7]
11314	genus	Aequorivita	1	2	2	2	2	2.00	0.00	[2]
11315	genus	Massilia	7	6	8	7	7	7.00	0.53	[7, 8, 7, 6, 7, 7, 7]
11316	genus	Ketogulonicigenium	6	5	6	5	5.0	5.17	0.37	[5, 5, 5, 5, 5, 6]
11317	genus	Nibribacter	1	3	3	3	3	3.00	0.00	[3]
11318	genus	Thauera	5	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4]
11319	genus	Gardnerella	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
11320	genus	Nocardia	12	3	4	3	3.0	3.17	0.37	[3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3]
11321	genus	Thermodesulfatator	1	2	2	2	2	2.00	0.00	[2]
11322	genus	Halobacteriovorax	2	2	2	2	2.0	2.00	0.00	[2, 2]
11323	genus	Pyrococcus	10	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
11324	genus	Parachlamydia	2	3	4		3.5	3.50	0.50	[3, 4]
11325	genus	Verminephrobacter	1	3	3	3	3	3.00	0.00	[3]
11326	genus	Halobacterium	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
11327	genus	Conexibacter	1	1	1	1	1	1.00	0.00	[1]
11328	genus	Paraliobacillus	1	9	9	9	9	9.00	0.00	[9]
11329	genus	Alicyclobacillus	2	6	6	6	6.0	6.00	0.00	[6, 6]
11330	genus	Niabella	2	2	2	2	2.0	2.00	0.00	[2, 2]
11331	genus	Pelosinus	2	9	15		12.0	12.00	3.00	[9, 15]
11332	genus	Wenyingzhuangia	1	4	4	4	4	4.00	0.00	[4]
11333	genus	Phycisphaera	1	1	1	1	1	1.00	0.00	[1]
11334	genus	Tateyamaria	1	1	1	1	1	1.00	0.00	[1]
11335	genus	Amphibacillus	1	6	6	6	6	6.00	0.00	[6]
11336	genus	Pseudopedobacter	1	4	4	4	4	4.00	0.00	[4]
11337	genus	Amycolatopsis	11	3	4	4	4	3.91	0.29	[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4]
11338	genus	Slackia	1	2	2	2	2	2.00	0.00	[2]
11339	genus	Buchnera	28	1	3	1	1.0	1.07	0.37	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
11340	genus	Arcobacter	11	4	6	5	5	5.09	0.67	[5, 4, 5, 5, 5, 6, 6, 6, 4, 5, 5]
11341	genus	Thermobifida	1	4	4	4	4	4.00	0.00	[4]
11342	genus	Nonomuraea	1	5	5	5	5	5.00	0.00	[5]
11343	genus	Staphylothermus	2	1	1	1	1.0	1.00	0.00	[1, 1]
11344	genus	Sodalis	12	1	7	1	1.0	2.83	2.64	[7, 1, 1, 1, 1, 5, 7, 7, 1, 1, 1, 1]
11345	genus	Dickeya	14	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
11346	genus	Planctopirus	1	2	2	2	2	2.00	0.00	[2]
11347	genus	Antarctobacter	1	2	2	2	2	2.00	0.00	[2]
11348	genus	Agarivorans	1	7	7	7	7	7.00	0.00	[7]
11349	genus	Melioribacter	1	1	1	1	1	1.00	0.00	[1]
11350	genus	Acidipila	1	1	1	1	1	1.00	0.00	[1]
11351	genus	Erysipelothrix	6	3	9	5	5.0	5.50	1.98	[7, 3, 4, 9, 5, 5]
11352	genus	Butyrivibrio	2	4	6		5.0	5.00	1.00	[6, 4]
11353	genus	Acidimicrobium	1	2	2	2	2	2.00	0.00	[2]
11354	genus	Clostridium XlVa	4	5	8	5	5.5	6.00	1.22	[8, 6, 5, 5]
11355	genus	Bacillus	432	1	16	10	10.0	10.40	2.37	[7, 13, 11, 12, 11, 7, 11, 14, 10, 7, 8, 13, 7, 13, 14, 9, 13, 7, 14, 14, 14, 13, 11, 12, 14, 11, 11, 12, 14, 11, 8, 7, 10, 10, 14, 13, 6, 10, 7, 10, 9, 7, 11, 10, 10, 12, 10, 12, 10, 10, 9, 14, 10, 10, 13, 12, 14, 10, 11, 15, 14, 9, 10, 9, 12, 13, 9, 10, 9, 7, 10, 9, 9, 10, 9, 12, 10, 15, 10, 11, 11, 10, 8, 10, 8, 14, 7, 13, 10, 10, 8, 7, 14, 9, 10, 7, 7, 11, 14, 11, 12, 14, 7, 7, 7, 9, 1, 7, 10, 10, 13, 8, 14, 9, 9, 10, 8, 11, 13, 14, 14, 10, 11, 11, 14, 11, 14, 11, 11, 12, 11, 10, 10, 10, 13, 11, 13, 14, 14, 14, 14, 10, 14, 11, 13, 8, 14, 11, 14, 11, 11, 13, 8, 13, 11, 7, 6, 10, 13, 10, 10, 10, 11, 7, 8, 8, 7, 14, 10, 9, 9, 10, 13, 10, 10, 10, 11, 14, 14, 13, 8, 10, 13, 7, 6, 12, 10, 9, 14, 1, 7, 10, 11, 12, 8, 9, 10, 8, 14, 8, 8, 8, 9, 9, 14, 8, 7, 8, 13, 10, 13, 16, 15, 13, 12, 9, 14, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 9, 7, 15, 10, 7, 10, 10, 8, 9, 10, 12, 10, 14, 14, 9, 8, 10, 10, 9, 10, 13, 5, 8, 9, 10, 9, 13, 11, 9, 9, 10, 10, 8, 8, 10, 8, 9, 11, 8, 8, 8, 15, 15, 14, 11, 9, 14, 9, 13, 12, 13, 10, 9, 8, 9, 10, 14, 8, 8, 8, 8, 8, 10, 14, 7, 15, 9, 9, 11, 10, 9, 8, 10, 8, 10, 9, 9, 10, 10, 13, 8, 12, 9, 14, 12, 10, 10, 8, 10, 10, 9, 11, 8, 14, 14, 14, 14, 10, 13, 9, 14, 14, 14, 8, 9, 9, 9, 8, 12, 15, 7, 13, 13, 13, 12, 13, 13, 13, 13, 13, 13, 10, 10, 8, 10, 11, 14, 10, 9, 9, 11, 8, 8, 8, 8, 7, 9, 14, 8, 9, 8, 7, 9, 9, 7, 15, 13, 9, 9, 8, 9, 9, 10, 9, 9, 10, 8, 9, 10, 8, 8, 14, 14, 9, 9, 9, 9, 9, 13, 9, 14, 8, 9, 9, 8, 9, 9, 9, 9, 10, 9, 11, 8, 9, 9, 9, 10, 8, 13, 9, 14, 14, 12, 9, 8, 9, 14, 14, 8, 8, 9]
11356	genus	Niveispirillum	1	4	4	4	4	4.00	0.00	[4]
11357	genus	Tamlana	1	3	3	3	3	3.00	0.00	[3]
11358	genus	Brevundimonas	6	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2]
11359	genus	Natronobacterium	1	3	3	3	3	3.00	0.00	[3]
11360	genus	Tepidanaerobacter	2	2	2	2	2.0	2.00	0.00	[2, 2]
11361	genus	Sphaerochaeta	3	3	4	4	4	3.67	0.47	[4, 3, 4]
11362	genus	Hathewaya	1	11	11	11	11	11.00	0.00	[11]
11363	genus	Thermosipho	5	3	4	4	4	3.80	0.40	[4, 3, 4, 4, 4]
11364	genus	Persephonella	1	2	2	2	2	2.00	0.00	[2]
11365	genus	Selenomonas	5	4	7	4	4	4.60	1.20	[4, 7, 4, 4, 4]
