id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
12247	family	Flavobacteriaceae	47	1	13			2.97	1.29	[1, 2, 2, 3, 2, 1, 2, 2, 2, 3, 2, 10, 6, 3, 2, 2, 6, 6, 6, 7, 6, 6, 5, 5, 6, 4, 2, 2, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 6, 6, 5, 3, 4, 6, 6, 6, 1, 1, 1, 1, 4, 13, 6, 5, 5, 7, 5, 7, 3, 6, 6, 3, 3, 6, 3, 6, 3, 4, 6, 2, 2, 2, 3, 2, 3, 3, 3, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 5, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 8, 5, 9, 9, 3, 3, 2, 2, 3, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 2, 3, 3, 6, 6, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 2, 2, 3, 3, 3, 4]
12248	family	Bradymonadaceae	1	5	5			5.00	0.00	[5]
12249	family	Leptospiraceae	2	2	2			2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
12250	family	Methanocaldococcaceae	2	2	2			2.00	0.00	[2, 2, 2, 2, 2, 2, 2]
12251	family	Clostridiaceae 2	2	6	10			7.50	1.50	[10, 8, 6]
12252	family	Alteromonadales_incertae_sedis	1	3	3			3.00	0.00	[3, 3]
12253	family	Thermodesulfobiaceae	2	2	2			2.00	0.00	[2, 2, 2]
12254	family	Pyrodictiaceae	2	1	1			1.00	0.00	[1, 1, 1]
12255	family	Promicromonosporaceae	3	3	4			3.17	0.24	[3, 4, 3, 3, 3]
12256	family	Cryomorphaceae	2	2	2			2.00	0.00	[2, 2]
12257	family	Bacillales_Incertae Sedis XI	1	4	4			4.00	0.00	[4, 4, 4]
12258	family	Mycoplasmataceae	2	1	3			1.74	0.26	[2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 2]
12259	family	Orbaceae	2	4	4			4.00	0.00	[4, 4]
12260	family	Thermotogaceae	2	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
12261	family	Aquificaceae	4	1	2			1.50	0.50	[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]
12262	family	Peptostreptococcaceae	3	4	17			7.34	3.41	[6, 11, 10, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 17, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 4]
12263	family	Listeriaceae	2	1	9			7.33	1.67	[9, 9, 6, 6, 5, 6, 6, 6, 5, 6, 6, 5, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 6, 6, 6, 4, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 4, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6]
12264	family	Staphylococcaceae	4	1	8			4.59	0.67	[4, 4, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5, 6, 5, 6, 6, 6, 5, 5, 6, 5, 6, 5, 6, 5, 5, 5, 5, 6, 4, 6, 4, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 5, 4, 7, 5, 6, 6, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 7, 6, 5, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 5, 5, 6, 7, 5, 4, 5, 6, 6, 6, 6, 5, 5, 5, 5, 4, 5, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 5, 5, 5, 6, 6, 7, 7, 6, 5, 7, 5, 6, 6, 6, 5, 6, 6, 6, 5, 6, 6, 6, 6, 5, 6, 5, 6, 5, 5, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 6, 1, 1, 1, 5, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 5, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 7, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 5, 5, 5, 4]
12265	family	Methanothermaceae	1	2	2			2.00	0.00	[2]
12266	family	Conexibacteraceae	1	1	1			1.00	0.00	[1]
12267	family	"Nitrospiraceae"	3	1	3			1.42	0.59	[3, 2, 2, 2, 1, 1, 1, 1, 1]
12268	family	Sphaerobacteraceae	1	2	2			2.00	0.00	[2]
12269	family	Desulfobulbaceae	4	2	7			3.50	2.06	[2, 7, 2, 3]
12270	family	Chlorobiaceae	4	1	3			1.66	0.39	[2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 3, 2, 2]
12271	family	Clostridiales_Incertae Sedis XIII	1	2	2			2.00	0.00	[2]
12272	family	Nitrosopumilaceae	1	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
12273	family	Archaeoglobaceae	3	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1]
12274	family	Moritellaceae	1	11	16			13.50	0.00	[11, 16]
12275	family	Desulfarculaceae	1	1	1			1.00	0.00	[1]
12276	family	Burkholderiales_incertae_sedis	5	1	4			2.10	1.02	[2, 1, 3, 4, 1, 1, 3]
12277	family	Nitrososphaeraceae	1	1	2			1.25	0.00	[1, 2, 1, 1]
12278	family	Chrysiogenaceae	1	3	3			3.00	0.00	[3]
12279	family	Phycisphaeraceae	1	1	1			1.00	0.00	[1]
12280	family	Sinobacteraceae	2	1	2			1.50	0.50	[1, 2]
12281	family	Intrasporangiaceae	5	2	2			2.00	0.00	[2, 2, 2, 2, 2, 2]
12282	family	Family IV	1	1	3			1.75	0.00	[1, 3, 1, 2]
12283	family	"Fusobacteriaceae"	2	3	8			6.57	1.43	[5, 5, 5, 5, 5, 3, 4, 4, 4, 5, 4, 5, 5, 3, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 7, 7, 6, 6, 5, 5, 7, 8]
12284	family	Planococcaceae	10	2	14			10.51	1.79	[12, 14, 9, 9, 12, 12, 8, 9, 9, 9, 9, 10, 9, 9, 11, 9, 9, 8, 10, 9, 8, 7, 8, 8, 9, 8, 9, 12, 10, 13, 12, 12, 12, 11, 2, 12, 9]
12285	family	Clostridiaceae 1	6	1	16			6.95	2.46	[6, 5, 5, 5, 11, 6, 11, 10, 7, 8, 10, 10, 7, 14, 8, 8, 9, 9, 9, 11, 11, 9, 9, 9, 9, 9, 9, 11, 10, 11, 9, 8, 11, 9, 12, 9, 16, 8, 14, 10, 10, 10, 10, 8, 11, 11, 10, 16, 4, 9, 9, 9, 11, 10, 11, 9, 9, 10, 10, 6, 8, 7, 10, 10, 10, 16, 9, 9, 9, 12, 8, 9, 7, 10, 12, 11, 12, 14, 12, 12, 10, 10, 9, 9, 10, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 1, 9, 9, 9, 10, 14, 10, 9, 10, 10, 15, 9, 7, 10, 10]
12286	family	Streptococcaceae	2	1	9			5.54	0.24	[6, 4, 4, 7, 6, 6, 5, 6, 5, 5, 5, 6, 6, 6, 6, 6, 7, 6, 6, 6, 4, 4, 6, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 4, 5, 7, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 1, 6, 4, 4, 4, 4, 4, 6, 5, 5, 4, 4, 6, 6, 6, 4, 5, 5, 5, 5, 6, 5, 4, 4, 7, 6, 4, 5, 6, 5, 4, 5, 4, 4, 6, 7, 7, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 5, 2, 2, 4, 7, 5, 5, 7, 7, 4, 5, 6, 5, 6, 6, 6, 7, 6, 4, 5, 7, 7, 7, 4, 5, 2, 6, 4, 5, 5, 6, 6, 6, 6, 6, 6, 5, 6, 7, 6, 6, 7, 7, 1, 6, 6, 6, 4, 7, 6, 3, 5, 4, 7, 4, 6, 9, 6, 6, 8, 6, 6, 8, 4, 5, 6, 4, 4, 4, 5, 5, 6, 4, 6, 4, 5, 5, 5, 5, 4, 5, 6, 6, 6, 5, 4, 6, 4, 7, 4, 7, 5, 6, 4, 4, 4, 4, 7, 4, 4, 6, 6, 7, 7, 6, 4, 4, 6, 7, 7, 6, 6, 6, 6, 4, 6, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 6, 6, 5, 6, 6, 7, 5, 5, 4, 4, 4, 4, 4, 4, 6, 6, 4, 4, 5, 4, 7, 7, 7, 7, 4, 4, 4, 5, 4, 5, 4, 6, 6, 6, 6, 6, 4, 5, 5, 4, 6, 5, 4, 6, 6, 6, 6, 6, 4, 4, 7, 7, 7, 7, 7, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 6, 7, 7, 5, 7, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 5, 7, 6, 4, 5, 6, 4, 7, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 6, 4, 6, 6, 6, 4, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 4, 4, 6, 6, 4, 6, 5, 6, 7, 6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 4, 6, 6, 4, 5, 4, 4, 4, 4, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 4, 6, 5, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4, 5, 5, 5, 6, 6, 6, 6]
12287	family	Pseudomonadaceae	12	1	9			4.27	0.88	[5, 3, 5, 4, 4, 5, 4, 3, 5, 2, 3, 4, 5, 3, 3, 4, 7, 5, 5, 5, 5, 5, 6, 4, 4, 4, 6, 4, 7, 7, 7, 4, 5, 5, 7, 5, 4, 4, 4, 4, 6, 8, 4, 5, 6, 6, 6, 4, 4, 6, 4, 4, 4, 6, 4, 7, 7, 4, 5, 5, 5, 5, 5, 4, 5, 5, 7, 5, 4, 5, 8, 7, 6, 4, 4, 4, 7, 7, 4, 5, 4, 6, 4, 6, 7, 6, 4, 1, 5, 4, 5, 4, 4, 5, 5, 6, 4, 6, 6, 6, 5, 6, 4, 4, 5, 4, 4, 6, 4, 7, 5, 6, 4, 6, 5, 6, 4, 5, 5, 7, 5, 4, 4, 4, 5, 5, 4, 8, 6, 5, 4, 5, 4, 4, 5, 6, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 7, 4, 4, 5, 6, 6, 4, 4, 4, 6, 5, 5, 4, 3, 5, 5, 4, 5, 4, 4, 6, 6, 4, 5, 6, 7, 6, 6, 7, 4, 5, 1, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 4, 4, 7, 4, 7, 4, 4, 4, 5, 5, 5, 4, 7, 5, 5, 7, 5, 5, 6, 7, 6, 4, 3, 5, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 7, 6, 5, 5, 7, 4, 4, 4, 6, 7, 7, 7, 6, 4, 7, 5, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 7, 7, 4, 7, 9, 7, 6, 6, 7, 7, 5, 6, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 6, 5, 4, 4, 4, 7, 4, 4, 6, 5, 4, 4, 4, 4, 4, 5, 6, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6]
12288	family	Thermococcaceae	3	1	2			1.33	0.47	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
12289	family	Syntrophomonadaceae	2	2	3			2.50	0.50	[3, 2]
12290	family	Nitrosomonadaceae	2	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1]
12291	family	Caldilineaceae	1	2	2			2.00	0.00	[2]
12292	family	Chromatiaceae	7	1	3			2.29	0.70	[2, 3, 2, 2, 2, 2, 3, 3, 2, 1]
12293	family	Deinococcaceae	1	3	5			3.41	0.00	[3, 4, 4, 3, 4, 5, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3]
12294	family	Desulfuromonadaceae	2	2	4			2.50	0.50	[2, 2, 2, 3, 4]
12295	family	Dermacoccaceae	3	2	3			2.33	0.47	[2, 3, 2]
12296	family	Spiroplasmataceae	1	1	2			1.14	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2]
