,log_coverage,log_conc,residuals
0,-1.7890717255251758,8.012837224705173,-0.14397016340501878
1,-5.299232645365296,4.012837224705172,0.4834858850298769
2,-0.8383548483352478,9.012837224705173,-0.23052644186652138
3,-0.7980204866655691,9.012837224705173,-0.19177340159408018
4,-5.057199579886005,5.012837224705172,-0.2839700323193126
5,-2.843455633959895,7.012837224705172,-0.15701661746361228
6,-1.7971213665221448,8.012837224705173,-0.15170421568255232
7,-5.47838782165855,4.012837224705172,0.3113545440465373
8,-5.0740990106637165,5.012837224705172,-0.3002069155721925
9,-3.877911058040019,6.012837224705172,-0.15091588969528047
10,-3.869596985886515,6.012837224705172,-0.142927773368279
11,-2.8474577161657972,7.012837224705172,-0.16086179677174428
12,-2.1177782606870843,7.929418925714293,-0.37637135597485916
13,-0.9207522871999592,8.929418925714293,-0.22627516410733328
14,-0.9185642057073272,8.929418925714293,-0.22417286704117956
15,-4.8820319806797485,4.929418925714293,-0.03225163521209229
16,-2.9586833812869227,6.929418925714293,-0.18430852554721078
17,-2.156285245555223,7.929418925714293,-0.4133686623308215
18,-5.245913061953693,4.929418925714293,-0.3818666436873466
19,-4.0941751036951315,5.929418925714293,-0.2752829360977316
20,-4.114942016324744,5.929418925714293,-0.29523567535416184
21,-3.150577078747837,6.929418925714293,-0.3686789699497286
22,-1.7036046292045002,8.181843587944773,-0.23086019484771203
23,-0.7506279072116702,9.181843587944773,-0.31524522643605124
24,-0.7505259052205894,9.181843587944773,-0.315147223465269
25,-4.662058500122099,5.181843587944773,-0.07332694671445328
26,-2.74719336591294,7.181843587944773,-0.23353470529945142
27,-1.7215600172124859,8.181843587944773,-0.24811163619390975
28,-5.1698418571673574,5.181843587944773,-0.561202496758014
29,-3.6746437775234075,6.181843587944773,-0.12462413039507148
30,-3.676148691528927,6.181843587944773,-0.12607004377136555
31,-2.7506821847778813,7.181843587944773,-0.2368867439181246
32,-1.599177327414776,8.334453751150932,-0.28313716163584424
33,-0.5450123327999589,9.334453751150932,-0.27030103881165424
34,-0.9826307979685412,9.334453751150932,-0.6907625337407044
35,-4.709861040744243,5.334453751150931,-0.2718655368293126
36,-3.110555731695409,7.334453751150931,-0.7352614978941752
37,-1.9634361042025734,8.334453751150932,-0.6331150579529581
38,-4.714380610922846,5.334453751150931,-0.27620791583061965
39,-3.872768524255199,6.334453751150931,-0.4675914970185895
40,-3.8688785790578524,6.334453751150931,-0.4638540583521511
41,-2.7416388188377496,7.334453751150931,-0.3808080892040575
42,-1.9182423356620624,7.785329835010767,-0.040569209251743565
43,-2.5839706924779553,3.785329835010767,3.319802524569771
44,-1.0196456448105562,8.785329835010767,-0.1772022856732942
45,-0.9997857196187758,8.785329835010767,-0.15812097512553613
46,-3.46327015699572,4.785329835010767,1.4749762734676146
47,-2.990057537617656,6.785329835010767,-0.07036355745943546
48,-1.9648621538028304,7.785329835010767,-0.08536128268775922
49,-2.837769798568828,2.785329835010767,4.0759536926483015
50,-2.6555013576044857,2.785329835010767,4.251076241777329
51,-2.83737914310067,3.785329835010767,3.0763290323453614
52,-3.1183516796846518,4.785329835010767,1.8063721128616317
53,-4.419581048052243,5.785329835010767,-0.4438421468558076
54,-4.0504046001281315,5.785329835010767,-0.08913937825354612
55,-3.0179920673974916,6.785329835010767,-0.09720290517033447
56,-1.5375838610444346,8.164352855784436,-0.05385759121513445
57,-0.5484854683878629,9.164352855784436,-0.10353711365462814
58,-0.5541409221927325,9.164352855784436,-0.10897084360562914
59,-4.859469224023804,5.164352855784437,-0.24550738863211663
60,-2.636099091454112,7.164352855784437,-0.10930518482262475
61,-1.51534184430545,8.164352855784436,-0.03248757977215888
62,-5.126268291966685,5.164352855784437,-0.5018465147924509
63,-3.8833082003640693,6.164352855784437,-0.3076170664279738
64,-3.707769628750371,6.164352855784437,-0.13896053999467295
65,-2.603181771216785,7.164352855784437,-0.07767839852896774
66,-1.6474283727653154,8.143014800254095,-0.13805755860647473
67,-0.8169524569561439,9.143014800254095,-0.34014071355474407
68,-0.6481879819546752,9.143014800254095,-0.1779927031349846
69,-4.9370931090447,5.143014800254095,-0.2987499491768153
70,-2.6590493977000715,7.143014800254095,-0.11001766152825176
71,-1.6062349856407863,8.143014800254095,-0.09847917124364258
72,-5.058100476279009,5.143014800254095,-0.41501318433341705
73,-3.652378284624868,6.143014800254095,-0.06440277549211793
74,-3.6028208132558452,6.143014800254095,-0.0167882204511276
75,-2.645934694227225,7.143014800254095,-0.09741712415005921
76,-1.9883080726752824,7.939519252618618,-0.2620774145084095
77,-0.963869335248371,8.939519252618618,-0.27780212156386597
78,-1.0141148325470979,8.939519252618618,-0.3260777282605307
79,-4.8698223646432535,4.939519252618618,-0.030621027935573863
80,-3.0661885280274364,6.939519252618618,-0.29769922593628095
81,-1.978473175519667,7.939519252618618,-0.25262809760417326
82,-5.185676650016523,4.939519252618618,-0.3340921462226687
83,-4.034874548756463,5.939519252618618,-0.2284076050621433
84,-4.111600340005055,5.939519252618618,-0.30212533741507386
85,-3.0265254594847675,6.939519252618618,-0.2595911605316372
